Id,Id Provincia,Distrito,Zona sismica
825,79,SANTO TOMÁS ,3
826,79,VELILLE ,3
827,80,CONDOROMA ,3
828,80,COPORAQUE ,3
829,80,ESPINAR ,3
830,80,OCORURO ,3
831,80,PALLPATA ,3
832,80,PICHIGUA ,3
833,80,SUYCKUTAMBO ,3
834,80,ALTO PICHIGUA ,3
835,81,ANCO ,2
836,81,CHINCHIHUASI ,2
837,81,CHURCAMPA ,2
838,81,COSME ,2
839,81,EL CARMEN ,2
840,81,LA MERCED ,2
841,81,LOCROJA ,2
842,81,PACHAMARCA ,2
843,81,PAUCARBAMBA ,2
844,81,SAN  MIGUEL  DE ,2
845,81,MAYOCC ,2
846,81,SAN PEDRO DE CORIS ,2
847,82,ACOBAMBA ,2
848,82,ANDABAMBA ,2
849,82,ANTA ,2
850,82,CAJA ,2
851,82,MARCAS ,2
852,82,PAUCARA ,2
853,82,POMACOCHA ,2
854,82,ROSARIO ,2
855,83,COLCABAMBA ,2
856,83,QUICHUAS ,2
857,83,DANIEL HERNÁNDEZ ,2
858,83,HUACHOCOLPA ,2
859,83,HUARIBAMBA ,2
860,83,QUISHUAR ,2
861,83,SALCABAMBA ,2
862,83,SAN  MARCOS ,2
863,83,ROCCHAC ,2
864,83,SALCAHUASI ,2
865,83,SURCUBAMBA ,2
866,83,TINTAY PUNCU ,2
867,83,PICHOS ,2
868,83,ROBLE ,2
869,83,ANDAYMARCA ,2
870,83,LAMBRAS ,2
871,83,COCHABAMBA ,2
872,83,ACOSTAMBO ,3
873,83,ACRAQUIA ,3
874,83,AHUAYCHA ,3
875,83,HUANDO ,3
876,83,ÑAHUIMPUQUIO ,3
877,83,PAMPAS ,3
878,83,PAZOS ,3
879,83,SANTIAGO DE TUCUMA ,3
880,84,CHINCHO ,2
881,84,ANCHONGA ,3
882,84,CALLANMARCA ,3
883,84,CCOCHACCASA ,3
884,84,CONGALLA ,3
885,84,HUANCA-HUANCA ,3
886,84,HUAYLLAY GRANDE ,3
887,84,JULCAMARCA ,3
888,84,LIRCAY ,3
